Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Office Supplies,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,2000,1500,1502,2000,1900,1900,650,592,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,1022,1502,1003,907,313,599,592,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Postage,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,2500,1500,1500,1360,1460,1460,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,905,342,1146,187,52,166,175,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Travel,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,3000,5000,5000,3041,3958,3759,5000,1896,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638,3340,3985,2876,2981,2351,2931,1397,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Printing,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,2500,1500,1500,734,1400,1400,2309,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,928,1094,659,772,27,1375,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Telephone,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,3000,2750,2750,1650,2500,2500,2500,2220,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,808,966,1572,1585,1545,1579,1255,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Office Rent,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,1800,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,2400,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Website Hosting/Maintenance,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,1500,959,1042,1000,1250,1592,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,1099,959,1042,959,959,1592,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Miscellaneous,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,15054,4600,0,0,0,0,0,5901,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,6130,265,0,0,0,0,0,4120,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Grant Administration,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,21098,10500,12650,2390,8164,4750,8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20180,11292,12079,2391,5667,3359,7309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Conferences/Training,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,2000,1166,2000,2000,2000,2000,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,1150,1166,1260,1361,1323,1799,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,IDNR Com Planning,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,0,1500,16980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,16980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,County Grant,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,7500,7000,7000,7000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Equipment,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,5000,3750,3750,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787,380,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Salaries & Benefits,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,47042,48842,51240,54598,59407,61413,66104,67830,65041,67592,67645,63342,67245,64815,78910,74965,73465,74965,68744,70048,71000,63998,64000,64000,69999,69124,69999,89357,76016,78421,78421,45408,48300,52218,54762,59407,61413,65845,65496,65041,67592,67646,63142,67226,64815,78910,74965,73465,74965,68744,70047,52588,63998,64000,64000,69124,51876,69698,89357,75131,78421,78421
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Office Supplies,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,3000,3000,3000,1617,1306,0,2800,2800,416,46,0,256,813,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2981,2329,2983,1617,880,0,1260,461,415,0,0,256,813,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Postage,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,4000,4000,4000,2928,4000,3902,4000,2407,3450,700,400,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3926,3776,2928,2002,3900,1718,2293,2000,700,400,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Travel,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,3500,3172,2500,2500,3538,3983,4319,5097,6380,2867,3023,1000,705,2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3472,3122,2513,2646,3538,3901,4318,5097,6380,2867,3024,947,705,2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
